Country,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Portugal,400.0,385.0,412.0,425.0,501.0,399.0,443.0,461.0,549.0,625.0,670.0,663.0,555.0,507.0,685.0,697.0,684.0,721.0,721.0,799.0,729.0,746.0,573.0,769.0,775.0,749.0,828.0,857.0,905.0,936.0,1038.0,1088.0,728.0,920.0,1000.0,1400.0,1400.0,1400.0,1400.0,1400.0,1000.0,1543.0,1942.0,1960.0,2050.0,2070.0,2030.0,2010.0,2076.0,2215.0,2033.0
Spain,5982.0,7394.0,8025.0,9526.0,10800.0,11502.0,11102.0,10982.0,11169.0,11339.0,12248.0,12643.0,12896.0,13178.0,13009.0,13497.0,14193.0,11882.0,11691.0,11886.0,12797.0,12936.0,12798.0,12272.0,12961.0,13445.0,13802.0,12154.0,13683.0,14827.0,14920.0,15874.0,16504.0,16408.0,16286.0,17621.0,17826.0,18391.0,18999.0,18640.0,14362.0,16343.0,15504.0,13639.0,14252.0,14249.0,14845.0,13616.0,14441.0,14320.0,13588.0
Sweden,5322.0,5497.0,5271.0,5257.0,5663.0,5988.0,5611.0,5139.0,3968.0,4325.0,4733.0,4237.0,3770.0,3900.0,4210.0,4705.0,4813.0,4716.0,4595.0,4779.0,4692.0,4455.0,4252.0,4358.0,4591.0,4967.0,4953.0,4910.0,5148.0,5153.0,5066.0,5227.0,5518.0,5754.0,5707.0,5978.0,5723.0,5466.0,5673.0,5164.0,2804.0,4846.0,4867.0,4326.0,4404.0,4539.0,4557.0,4817.0,4926.0,4654.0,4721.0
Switzerland,500.0,524.0,532.0,543.0,584.0,592.0,420.0,545.0,656.0,784.0,888.0,929.0,934.0,835.0,835.0,978.0,987.0,1075.0,866.0,988.0,916.0,1105.0,1111.0,1238.0,1254.0,1098.0,739.0,700.0,789.0,800.0,800.0,1000.0,1000.0,1000.0,1000.0,1000.0,1158.0,1252.0,1264.0,1312.0,934.0,1320.0,1400.0,1450.0,1530.0,1475.0,1475.0,1500.0,1450.0,1500.0,1500.0
Turkey,1170.0,1312.0,1235.0,1557.0,1354.0,1590.0,1703.0,1972.0,1902.0,2172.0,2396.0,2536.0,2425.0,3183.0,3834.0,4330.0,4864.0,5928.0,7044.0,7982.0,7852.0,9443.0,9398.0,10343.0,11519.0,12624.0,13183.0,13624.0,14475.0,14144.0,14313.0,14325.0,14981.0,16467.0,18298.0,20478.0,20965.0,23315.0,25754.0,26806.0,25304.0,29143.0,34107.0,35885.0,34654.0,34035.0,31517.0,33163.0,37524.0,37312.0,33743.0
Yugoslavia,2220.0,2228.0,2453.0,2588.0,2676.0,2836.0,2916.0,2751.0,3182.0,3455.0,3535.0,3634.0,3977.0,3850.0,4134.0,4236.0,4480.0,4520.0,4367.0,4487.0,4500.0,3608.0,2176.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,1515.0,1800.0,1948.0,2121.0,2246.0,2188.0,2265.0,2460.0,2589.0,2470.0,2482.0,2567.0,2483.0,2586.0,2825.0,2878.0,2945.0,2965.0,3044.0,2880.0,2899.0,2180.0,1615.0,1552.0,1941.0,2491.0,698.0,2457.0,2628.0,2216.0,1868.0,2022.0,1972.0,1860.0,2317.0,2106.0,1949.0,2102.0,1909.0,1330.0,726.0,737.0,835.0,633.0,523.0,612.0,543.0,527.0,652.0,666.0,566.0
Czechoslovakia,10802.0,11480.0,12088.0,12728.0,13158.0,13640.0,14324.0,14693.0,15054.0,15294.0,14817.0,14925.0,15270.0,14992.0,15024.0,14831.0,15036.0,15112.0,15416.0,15380.0,15465.0,14877.0,12701.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Germany,5140.0,5425.0,5745.0,6085.0,5835.0,6165.0,6480.0,6740.0,6850.0,6976.0,7024.0,7308.0,7467.0,7168.0,7219.0,7573.0,7852.0,7967.0,8243.0,8133.0,7829.0,5566.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,3032.0,3110.0,3110.0,3273.0,3332.0,3468.0,3673.0,3652.0,3723.0,3773.0,3907.0,3767.0,3645.0,3702.0,3617.0,3770.0,3647.0,3716.0,3622.0,3582.0,3315.0,2963.0,1931.0,1541.0,1753.0,1938.0,1861.0,1872.0,1690.0,1816.0,1813.0,1871.0,1956.0,2053.0,1989.0,1952.0,1958.0,2084.0,2227.0,2097.0,1401.0,1678.0,1746.0,1542.0,883.0,1152.0,1675.0,1274.0,1901.0,1989.0,1769.0
